"OePNV","kiezblocks","Fahrrad","Verbrenner","E_Fahrzeuge","DRT","Anwohnerparken","Besucherparken","CO2","Kosten","traffic","parking","KostenProKopf","KostenProErwachsener"
"stark","base","base","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-550200000,0,0,-144.789473684211,-179.803921568627
"base","Innenstadt","base","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0.01,-5200000,0,0,-1.36842105263158,-1.69934640522876
"dekarbonisiert","Innenstadt","base","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-55200000,0,0,-14.5263157894737,-18.0392156862745
"stark","Innenstadt","base","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-555200000,0,0,-146.105263157895,-181.437908496732
"base","ganze Stadt","base","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0.01,-10200000,0,0,-2.68421052631579,-3.33333333333333
"dekarbonisiert","ganze Stadt","base","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-60200000,0,0,-15.8421052631579,-19.6732026143791
"stark","ganze Stadt","base","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-560200000,0,0,-147.421052631579,-183.071895424837
"base","base","stark","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0.01,-70200000,0,0,-18.4736842105263,-22.9411764705882
"dekarbonisiert","base","stark","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-120200000,0,0,-31.6315789473684,-39.281045751634
"stark","base","stark","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-620200000,0,0,-163.210526315789,-202.679738562092
"base","Innenstadt","stark","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0.01,-75200000,0,0,-19.7894736842105,-24.5751633986928
"dekarbonisiert","Innenstadt","stark","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-125200000,0,0,-32.9473684210526,-40.9150326797386
"stark","Innenstadt","stark","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-625200000,0,0,-164.526315789474,-204.313725490196
"base","ganze Stadt","stark","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0.01,-80200000,0,0,-21.1052631578947,-26.2091503267974
"dekarbonisiert","ganze Stadt","stark","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-130200000,0,0,-34.2631578947368,-42.5490196078431
"stark","ganze Stadt","stark","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-630200000,0,0,-165.842105263158,-205.947712418301
"base","base","base","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",1,0,1,1,0,0
"dekarbonisiert","base","base","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.99,-5e+07,1,1,-13.1578947368421,-16.3398692810458
"stark","base","base","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.9,-5.5e+08,0.9,0.95,-144.736842105263,-179.738562091503
"base","Innenstadt","base","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.9505,-5e+06,1,1,-1.31578947368421,-1.63398692810458
"dekarbonisiert","Innenstadt","base","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.95,-5.5e+07,1,1,-14.4736842105263,-17.9738562091503
"stark","Innenstadt","base","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.85,-5.55e+08,0.9,0.95,-146.052631578947,-181.372549019608
"base","ganze Stadt","base","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.9,-1e+07,0.95,0.95,-2.63157894736842,-3.26797385620915
"dekarbonisiert","ganze Stadt","base","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.9,-6e+07,0.95,0.95,-15.7894736842105,-19.6078431372549
"stark","ganze Stadt","base","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.8,-5.6e+08,0.85,0.9,-147.368421052632,-183.006535947712
"base","base","stark","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.9,-7e+07,0.95,0.95,-18.421052631579,-22.8758169934641
"dekarbonisiert","base","stark","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.9,-1.2e+08,0.95,0.95,-31.578947368421,-39.2156862745098
"stark","base","stark","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.8,-6.2e+08,0.85,0.9,-163.157894736842,-202.614379084967
"base","Innenstadt","stark","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.85,-7.5e+07,0.95,0.95,-19.7368421052632,-24.5098039215686
"dekarbonisiert","Innenstadt","stark","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.85,-1.25e+08,0.95,0.95,-32.8947368421053,-40.8496732026144
"stark","Innenstadt","stark","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.75,-6.25e+08,0.85,0.9,-164.473684210526,-204.248366013072
"base","ganze Stadt","stark","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.8,-8e+07,0.95,0.9,-21.0526315789474,-26.1437908496732
"dekarbonisiert","ganze Stadt","stark","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.8,-1.3e+08,0.95,0.9,-34.2105263157895,-42.483660130719
"stark","ganze Stadt","stark","base","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.75,-6.3e+08,0.85,0.85,-165.789473684211,-205.882352941176
"base","base","base","Maut","base","nur Aussenbezirke","10 €/Jahr","0,00 €/h",0.6,1.46e+09,0.95,0.9,384.21052631579,477.124183006536
