"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","drtTraffic","KostenProKopf","KostenProErwachsener"
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZone","ganzeStadt","base",0,-6e+07,0.95,0.85,0,-15.7921052631579,-19.6111111111111
"stark","ganze Stadt","base","zeroEmissionsZone","ganzeStadt","base",0,-5.6e+08,0.95,0.8,0,-147.371052631579,-183.009803921569
"base","base","stark","zeroEmissionsZone","ganzeStadt","base",0.01,-7e+07,0.95,0.85,0,-18.4236842105263,-22.8790849673203
"dekarbonisiert","base","stark","zeroEmissionsZone","ganzeStadt","base",0,-1.2e+08,0.95,0.85,0,-31.5815789473684,-39.218954248366
"stark","base","stark","zeroEmissionsZone","ganzeStadt","base",0,-6.2e+08,0.95,0.8,0,-163.160526315789,-202.617647058824
"base","ganze Stadt","stark","zeroEmissionsZone","ganzeStadt","base",0.01,-8e+07,0.95,0.8,0,-21.0552631578947,-26.1470588235294
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZone","ganzeStadt","base",0,-1.3e+08,0.95,0.8,0,-34.2131578947368,-42.4869281045752
"stark","ganze Stadt","stark","zeroEmissionsZone","ganzeStadt","base",0,-6.3e+08,0.9,0.75,0,-165.792105263158,-205.885620915033
"base","base","base","zeroEmissionsZonePlusMaut","ganzeStadt","base",0.01,2.15e+09,0.9,0.65,0,566.707894736842,703.754901960784
"dekarbonisiert","base","base","zeroEmissionsZonePlusMaut","ganzeStadt","base",0,2.1e+09,0.9,0.65,0,553.55,687.415032679738
"stark","base","base","zeroEmissionsZonePlusMaut","ganzeStadt","base",0,1.57e+09,0.85,0.6,0,413.326315789474,513.281045751634
"base","ganze Stadt","base","zeroEmissionsZonePlusMaut","ganzeStadt","base",0.01,2.11e+09,0.85,0.6,0,555.431578947368,689.751633986928
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZonePlusMaut","ganzeStadt","base",0,2.06e+09,0.85,0.6,0,542.273684210526,673.411764705882
"stark","ganze Stadt","base","zeroEmissionsZonePlusMaut","ganzeStadt","base",0,1.53e+09,0.85,0.55,0,402.914473684211,500.351307189543
"base","base","stark","zeroEmissionsZonePlusMaut","ganzeStadt","base",0.01,2.05e+09,0.85,0.6,0,539.642105263158,670.143790849673
"dekarbonisiert","base","stark","zeroEmissionsZonePlusMaut","ganzeStadt","base",0,2e+09,0.85,0.6,0,526.484210526316,653.803921568627
"stark","base","stark","zeroEmissionsZonePlusMaut","ganzeStadt","base",0,1.47e+09,0.85,0.55,0,387.125,480.743464052288
"base","ganze Stadt","stark","zeroEmissionsZonePlusMaut","ganzeStadt","base",0.01,2.01e+09,0.85,0.55,0,529.230263157895,657.214052287582
